mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,mu_4,P_4,t04,ecos4,esin4,lprob
4.579761786377615e-9,224.70303539813162,3482.1633931454776,-6.13112429855651,-1.2032894067149817,6.521232146235218e-9,365.25797879677066,3637.2424361555177,-0.01559341592225747,-0.007903116530472412,5.56653198901007e-8,547.8749999999998,76.95086789172095,-0.011157104552050847,-0.0028443898197914406,-5.3017611022804205,1.4279412593738904e7,-828569.1902658072,-3481.2903306491467,-385.35231710713816,-193.25872962918268
3.672872993307738e-6,224.70078344158392,3503.7687774488845,-0.07103220046112199,-0.03246453748981221,2.6821754527229945e-6,365.2569636727061,3624.4031540302735,-0.04165898611691939,-0.024181553366231737,2.1396715953055766e-7,551.1997539631855,180.4236073196084,-0.02576586831804099,-0.013454512087590126,0.0010126187931584613,4627.144541133855,978.1307690962043,0.029699684445597094,0.07092760358674494,-106.37753935319016
3.7097921940212587e-6,224.70078297847147,3503.7687844514935,-0.06904340371405816,-0.03181972098813902,2.69138166857851e-6,365.2565693316814,3624.406459991538,-0.04014634453090384,-0.023712370971183575,1.9550551560230236e-7,554.544684041207,142.2508662837887,-0.022142597836334005,-0.015113442215990498,0.0010559669996219351,4641.293447635274,951.6749461183036,0.031245305698895495,0.06833516128890096,-107.36310235521796
3.746558665023785e-6,224.70078299611347,3503.7687843046847,-0.06768964630184682,-0.031652024029926486,2.69773066701403e-6,365.2564905999829,3624.4071485865556,-0.03913118320197286,-0.023633215985714842,1.7286407752718989e-7,557.9099126718797,656.6830944005321,-0.018116689033937445,-0.013979524417260705,0.0010765434237737317,4646.532417556458,937.1169931185091,0.030735537649155695,0.06798492935815274,-108.578764542104
3.678716557231518e-6,224.70078675988077,3503.768725377485,-0.07632992755556291,-0.04076065853621549,2.6549323770059434e-6,365.25646881802516,3624.407376435688,-0.04569200968517882,-0.03094266700322491,1.6356430840378526e-7,561.2955630360256,131.93746290788124,-0.025135422107446855,-0.03607847332281022,0.0008020306324427032,4576.787174966302,1035.607045993571,0.002354372810529724,0.0945224646937386,-109.06564443950622
3.659701941550055e-6,224.70078807495042,3503.768707641711,-0.07623416156803277,-0.041947750941038836,2.652104501129116e-6,365.2564494959648,3624.407525291554,-0.045927409308087294,-0.03174976477251133,1.8455774582685417e-7,564.7017590619851,656.6347789823417,-0.02232452695759101,-0.04020482097905844,0.0007545894183308942,4556.161732505767,1058.4708978897681,-0.006207978399596146,0.10466462748646106,-108.07665651556293
3.6513316191989635e-6,224.7007871832923,3503.7687337019784,-0.07429340152584629,-0.04126365199120655,2.6563400059234836e-6,365.2564262979305,3624.407719387192,-0.044991373915274115,-0.03108741458338386,2.0511510523373832e-7,568.1286254301516,614.2644747902935,-0.008546230741490482,-0.04555113697226485,0.0007280719457113528,4591.0570206493085,1037.5447671103002,0.0021666595055055047,0.12350273034265526,-106.62223823303684
3.664434046797307e-6,224.7007802875036,3503.7688455793236,-0.06432782918997913,-0.035320817907483905,2.694185074532275e-6,365.25640535410616,3624.4079464932393,-0.038489362569076806,-0.026040856019724,2.975549585190896e-7,571.5762875775364,566.3289911738677,0.005871507605010623,-0.025240546960606763,0.0009024280175776389,4747.676773743134,847.7549824807295,0.04138424663712025,0.09645390547936482,-106.03809379359518
3.725741386902463e-6,224.70077381203657,3503.768929485891,-0.053123237863808896,-0.03142262897184223,2.7223701400693102e-6,365.2563876628616,3624.408114086687,-0.030627352339363548,-0.022262852501938886,4.6700623063753145e-7,575.0448717023575,524.3799205348693,0.0032989613190862435,-0.01599128822144497,0.0012940066277829527,4970.840521128475,502.8457116759699,0.050784053201574364,0.05687906550088098,-104.18672493514993
3.7487225476257006e-6,224.70077060508075,3503.768972688704,-0.0434901841304173,-0.030555826724984154,2.7272917582411152e-6,365.25636513903504,3624.4083268182967,-0.02453236462659774,-0.02054883059632827,6.75661403595481e-7,578.5345047686627,483.14010666236084,0.009082897445347045,-0.017818116161836504,0.00163619356126525,5140.809328829374,227.70849476238158,0.052243300942905885,0.04511953484034651,-100.1963244225896
3.7547074956832024e-6,224.70076832483238,3503.769001760011,-0.037697463052211576,-0.03644383773843324,2.7051404496519767e-6,365.2563473144244,3624.408494564922,-0.02141194045980967,-0.024219278673590205,8.816693631989361e-7,582.0453145109748,441.2696722083233,0.01683666427733724,-0.02564856892695344,0.0017608385647707734,5239.326181644616,29.212581405001288,0.046957191897214055,0.038797654627436375,-96.6629954779942
5.271486578423806e-6,224.70077562577418,3503.7688858499932,-0.03394160488147503,-0.029977584781210927,2.743474696912253e-6,365.25637271948483,3624.4082015436516,-0.01647922847774666,-0.01968347846956274,1.2620738699639183e-6,585.5774294389681,103.34223831922905,0.017188860433496937,-0.018857115514685233,0.0016044324046526328,4959.003588131185,315.56266901274785,0.04494566695635287,0.03153217531058745,-98.81089569463765
4.324653081087879e-6,224.70080063347854,3503.768463441826,-0.03760229628353619,-0.03926932760204147,2.807111380087224e-6,365.25645959693696,3624.4074101687743,-0.013317446406109372,-0.030147926156603767,2.9320973685660525e-10,589.1309788421701,314.49408450252866,86.33309822856468,-0.6756928707338007,0.0003301634849048961,4061.8966787882664,1298.2818655895164,-0.21046290344970822,0.032907037119416116,-100.95439023312744
4.6626212868697965e-6,224.70079557631288,3503.7685315093545,0.00583949206977364,-0.031260202265718615,3.0419296698273915e-6,365.25644233882565,3624.407572965235,0.01847187856826896,-0.023744879681928933,5.110565840485623e-7,592.7060927946975,268.9027584308791,-0.016121175865322326,-0.05964575672649579,1.5406096022689476e-6,4217.390138609358,33376.352243921814,-55.90541801439278,23.998527722140377,-97.88261176649135
3.65913310649835e-6,224.70076858625558,3503.768988610137,-0.10603580133199308,-0.029035774148682133,2.4995316850027397e-6,365.25631292898277,3624.4088652027954,-0.07017366387805644,-0.022559273351849575,5.151871183988324e-7,596.3029021600152,539.4835622839654,0.017048191984470162,0.025924390597409468,0.0006181003499639241,5484.828603697425,384.5252483582314,0.035521793025030106,0.15347906484077525,-96.80547733188803
3.397142373394568e-6,224.70076822159024,3503.768989924381,-0.12861887215306314,-0.03195625919393778,2.4035752614837533e-6,365.25627811313336,3624.4092308750664,-0.0873563486145769,-0.024209758292196654,4.052194990297631e-7,599.9215385957276,497.5531148109914,-0.013418030051209288,0.044408264693308205,0.0006000081787177873,5333.305008301407,544.378946000463,0.017383856920959208,0.17041731785448427,-96.99790956618887
3.308800239906507e-6,224.70076901298472,3503.7689664503305,-0.13677635137793276,-0.03274629321165246,2.370212950041452e-6,365.25625730769104,3624.4094122573492,-0.0933167279561111,-0.024604706637312807,3.3109492325893067e-7,603.5621345583953,451.48785871720577,-0.027167199047935665,0.04716221243687815,0.0006006032599177914,5246.352478428391,598.2611807195774,-0.010839977164851524,0.17243668523746264,-99.97227156952682
3.2803990530553593e-6,224.70076790999505,3503.768972978357,-0.1402679901433236,-0.030240462809877928,2.3478251832149924e-6,365.2561885852852,3624.406804436447,-0.09570681259016675,-0.022498905938645047,4.3180508703651537e-10,607.2248233083873,11449.968775635069,-99.94975647722508,57.41159472198113,0.0006210023071911599,5321.985155512279,504.69044866079815,-0.026080584411522823,0.1712256317041133,-100.52378995572924
3.4500499476399423e-6,224.70077293159594,3503.7689124848234,-0.11977305174705556,-0.031467972122381276,2.4467306245172533e-6,365.2565539383509,3624.4075872640956,-0.08008986065997643,-0.022542124334734223,6.823247662833663e-7,610.909738914756,277.90700005196004,-0.12130874689467468,0.021277685165790258,0.0007178455176398214,5006.5000350157425,817.1730982339556,0.005157260844568667,0.14445301377166841,-101.26112811210983
